,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
ELOVL6,0,2.349891007,0,0,1.650205321,1.652281975,0,1.488559887,0,0,1.650205321,0,3.60396474
ELOVL7,1.525578787,1.257249516,0,-1.259254091,-1.281462552,-1.579859962,1.257249516,0,2.080501463,2.119274626,-1.281462552,-1.259254091,1.292951288
ELP2,1.344172067,1.237140943,0,-1.09642101,0,0,1.237140943,0,1.231200955,1.326502773,0,-1.09642101,-1.291075094
ELP3,1.567033844,0,-1.141785656,0,1.254145612,1.149102261,0,-1.141785656,0,1.206645767,1.254145612,0,1.170186841
ELP4,1.643496402,1.171991834,-1.179942554,-1.191773663,0,0,0,-1.179942554,1.303200979,1.170664612,0,-1.191773663,1.599508237
ELTD1,0,1.532624695,0,0,0,-1.348430254,0,1.156643757,0,0,0,0,1.158087007
EMB,0,1.079260687,0,1.325403465,0,1.534329999,1.079260687,0,0,0,0,1.325403465,1.073506397
EMCN,0,1.093988592,1.394520664,0,1.610317424,1.65721985,1.093988592,1.394520664,0,0,1.610317424,0,-2.038472672
EMD,-1.485908533,0,1.361226576,0,0,0,0,1.361226576,0,0,0,0,2.293936271
EME1,1.874334522,1.773492419,1.501122225,1.640228806,1.703400095,3.272079208,1.773492419,1.501122225,2.27609818,1.400071353,1.703400095,1.640228806,1.745437954
EME2,1.283667937,1.124132187,-1.093869616,0,0,0,1.124132187,-1.093869616,0,0,0,0,1.45288465
EMG1,0,4.942821504,2.006587189,1.130855821,0,0,4.942821504,2.006587189,0,1.183175139,0,1.130855821,2.877068733
EMID1,0,-1.88408051,-1.417964392,0,1.887731838,1.864045562,-1.88408051,-1.417964392,0,0,1.887731838,0,-1.700477722
EMID2,0,-1.198500921,0,0,0,0,-1.198500921,-1.127584185,0,0,0,0,0
EMILIN1,1.523843868,-1.414417642,0,-1.221555712,0,-1.564432047,-1.414417642,0,1.217091758,0,0,-1.221555712,0
EMILIN2,0,-1.244171216,-1.509058141,-1.422449885,0,-1.356683755,0,-1.509058141,0,0,0,-1.422449885,2.777872153
EMILIN3,-1.509066378,-1.891885403,0,1.442475728,0,1.329124555,-1.891885403,0,-1.8358694,-1.472839782,0,1.442475728,0
EML1,0,0,1.393790179,-1.23739043,1.202075669,0,0,1.393790179,0,0,1.202075669,-1.23739043,0
EML2,0,1.13410931,0,0,1.770651843,1.528478725,1.13410931,0,0,0,1.770651843,0,0
EML3,0,-1.338153349,-1.375012488,1.249028974,1.157687076,1.530607832,-1.338153349,-1.375012488,0,0,1.157687076,1.249028974,1.356964824
EML4,0,-1.753309187,-1.403012338,1.128852152,0,1.318378985,0,-1.403012338,-1.187130214,0,0,1.128852152,-1.414062859
EML5,0,-1.413083669,0,0,-1.204825818,1.104151151,0,0,0,1.174913293,-1.204825818,0,-1.497555431
EML6,0,1.067511542,0,0,0,0,1.067511542,0,0,0,0,0,1.144410718
EMP1,-10.66731047,1.580513329,0,0,0,-1.227107075,0,0,-8.370994578,-2.92031461,0,0,0
EMP2,0,0,1.615049196,-1.142838168,0,-1.121773923,0,1.615049196,0,0,0,-1.142838168,-3.070083227
EMP3,-2.397914553,3.139193596,1.254385079,1.157287716,0,1.241173293,0,1.254385079,-2.492491491,-2.037309983,0,1.157287716,3.034898922
EMR1,0,0,0,0,1.437478935,1.486029239,0,0,0,0,1.437478935,0,0
EMR2,-2.640148876,-1.216277966,0,0,0,0,-1.216277966,0,-2.333661361,-1.674674084,0,0,0
EMR4P,1.323209686,-1.118902726,0,0,0,0,-1.118902726,0,1.26800115,1.132856386,0,0,0
EMX1,0,-2.580653009,0,0,1.234586163,1.248468699,-2.580653009,-1.254176544,0,-1.459601969,1.234586163,0,0
EMX2,0,1.042508293,0,0,0,0,1.042508293,0,0,0,0,0,0
EMX2OS,0,-1.068855779,0,0,0,0,-1.068855779,0,0,0,0,0,0
EN2,0,-1.780844005,0,0,0,-1.265371962,-1.780844005,0,0,-1.823813345,0,0,0
ENAH,0,1.138305997,0,-1.217467527,0,-1.394926035,1.138305997,0,0,0,0,-1.217467527,0
ENAM,0,1.33646132,0,0,0,0,1.33646132,1.325624724,0,0,0,0,1.332704255
ENC1,-3.04918034,1.834330747,1.435533633,-1.240167409,-2.132853646,-3.096795113,1.834330747,1.435533633,-1.817284986,-1.416658254,-2.132853646,-1.240167409,1.883205019
ENDOD1,1.296847228,0,1.362484036,0,-1.332868226,0,0,1.362484036,1.396566133,1.26739943,-1.332868226,0,-2.098252854
ENDOG,0,2.276498163,0,0,0,1.193850387,0,1.544269709,-1.275463495,-1.311909804,0,1.208256283,1.761777995
ENDOU,0,0,0,0,0,1.121148759,0,0,0,0,0,0,1.1555538
ENDOV,0,-1.169975206,-1.185379672,0,0,0,-1.169975206,-1.185379672,0,0,0,0,-1.152465199
ENG,0,0,0,0,-1.204396332,-1.099497067,0,0,0,-1.169442137,-1.204396332,0,1.852331295
ENGASE,0,-1.404017479,0,1.157714872,0,1.087550292,-1.404017479,-1.425178227,0,0,0,1.157714872,0
ENHO,1.649695282,0,0,0,0,0,0,0,0,-1.56900315,0,0,0
ENKUR,0,1.552717954,0,-1.171687373,1.35253175,1.225191305,0,1.245655349,0,0,1.35253175,-1.171687373,2.043947966
ENO1,0,4.620447268,2.115900337,0,0,0,0,2.115900337,0,0,0,0,5.541355202
ENO2,-2.095073663,2.368287408,0,-1.189247,0,1.116902477,0,1.269254012,-1.551443146,-1.262117343,0,-1.189247,2.467535121
ENO3,1.676446866,0,0,0,0,1.409601967,0,0,2.317388473,1.761856591,0,0,0
ENO4,0,0,0,0,0,1.134630894,0,0,0,0,0,0,0
ENOPH1,0,1.481786928,0,0,0,0,1.481786928,1.269189686,0,1.161906124,0,0,1.413189338
ENOSF1,1.675221465,-1.135635629,0,0,0,0,0,1.32368606,1.610799278,1.280593917,0,0,0
ENOX1,0,2.927733971,0,-1.388936053,0,-2.024364556,2.927733971,1.45361378,0,1.283362766,0,-1.388936053,5.088134876
ENOX2,0,0,0,-1.19376571,1.247177928,1.167630015,0,0,-1.133638526,1.141299364,1.247177928,-1.19376571,-1.409660031
ENPEP,0,0,0,-1.354827442,1.483208274,1.439497202,0,0,0,0,1.483208274,-1.354827442,0
ENPP1,0,1.385774425,0,1.229744337,0,1.533231102,0,1.060556253,0,-1.333104635,0,1.229744337,-1.160480033
ENPP2,0,0,0,0,1.275804298,1.683454112,0,1.142520503,1.207516633,0,1.275804298,0,-1.259737966
ENPP3,0,-1.217968055,0,-1.378226415,-1.347227414,-1.47623705,0,0,1.657627083,1.663018218,-1.347227414,-1.378226415,-1.680933926
ENPP4,0,-1.5361528,0,-1.39903765,-2.038466881,-2.6194584,-1.5361528,0,1.615980624,1.757908865,-2.038466881,-1.39903765,-1.810489283
ENPP5,0,0,0,-1.167234614,0,1.13340185,0,0,0,1.188580219,0,-1.167234614,0
ENPP6,0,0,0,0,0,0,0,0,0,0,0,0,-1.270596694
ENSA,0,1.470395937,0,0,0,-1.199766451,1.470395937,0,0,-1.20026238,0,0,0
ENTHD1,0,0,0,0,0,0,0,0,0,1.186506975,0,0,0
ENTPD1,-1.267942535,-1.107229771,0,0,0,-1.254613457,-1.107229771,0,-1.224699476,-1.196344933,0,0,0
ENTPD2,0,1.391389102,0,-1.195390918,0,0,1.391389102,0,0,-1.138299311,0,-1.195390918,0
ENTPD3,0,0,0,-1.875791196,-1.465471694,-2.039018122,0,0,0,-1.257802319,-1.465471694,-1.875791196,0
ENTPD4,0,-1.196759258,0,0,1.302332269,1.191031377,0,0,0,-1.251734223,1.302332269,0,-1.410606217
ENTPD5,0,1.246325342,1.127590431,0,1.679241742,1.628235999,1.246325342,1.127590431,0,1.186764274,1.679241742,0,0
ENTPD6,0,1.933446391,0,1.156330941,1.196656923,1.306432177,1.933446391,0,0,-1.244630982,1.196656923,1.156330941,2.420558927
ENTPD7,-1.167827348,2.402706914,1.311470188,0,0,-1.19858025,0,1.311470188,0,0,0,0,2.887806619
ENTPD8,0,-1.378764699,-1.164990327,-2.053116168,2.035094037,1.802862608,-1.378764699,-1.164990327,0,0,2.035094037,-2.053116168,-2.188027168
ENY2,0,2.090872394,0,0,-1.22150426,-1.185744569,2.090872394,1.566356135,0,-1.140779683,-1.22150426,0,-1.376232971
EOMES,0,0,0,0,-1.385504603,2.229311853,0,0,0,0,-1.385504603,2.127714832,0
EP300,-1.322589433,0,0,0,-1.193142355,0,0,0,-1.60464978,-1.639188343,-1.193142355,0,1.673171007
EP400,-1.319518826,1.563626955,0,0,-1.167929813,0,1.563626955,0,0,0,-1.167929813,0,1.708009867
EP400NL,0,-2.04207325,-1.51082024,0,0,0,-2.04207325,-1.51082024,0,0,0,0,-1.677246734
EPAS1,1.438061809,-1.580916401,0,0,0,0,0,0,0,0,0,0,-2.259624108
EPB41,0,-1.831470054,0,0,0,0,-1.831470054,0,1.310218413,1.368533432,0,0,-2.269626654
EPB41L1,1.476471649,-2.298296909,0,0,0,0,0,0,0,0,0,0,-3.835721215
EPB41L2,1.529843676,0,0,0,0,0,0,1.227100568,1.206246269,-1.149690118,0,0,-2.686892821
EPB41L3,-1.335630002,4.11558352,0,0,0,0,4.11558352,1.998461172,-1.359725802,-1.302623196,0,0,3.281276145
EPB41L4A,0,-2.288109944,0,0,0,0,-2.288109944,-1.569977083,1.396681101,1.415805328,0,0,-3.194839755
EPB41L4A-AS1,-1.453117969,-1.322195035,0,0,0,0,0,-1.483091766,0,0,0,0,-1.431247367
EPB41L4B,0,1.20975178,0,0,0,0,1.20975178,0,0,-1.213873636,0,0,1.110911521
EPB41L5,0,1.19067982,0,0,0,0,1.19067982,0,0,0,0,0,0
EPB42,0,-1.325499989,0,0,0,0,0,0,0,-1.369802208,0,0,0
EPB49,-1.320895358,-1.484286079,-1.444424848,0,0,0,0,-1.444424848,0,-1.176834164,0,0,-1.132807431
EPC1,0,0,0,0,-1.389383169,-1.170066537,0,0,-1.344369058,0,-1.389383169,0,0
EPC2,0,-1.324535532,-1.149299479,0,-1.157275135,0,-1.324535532,-1.149299479,0,0,-1.157275135,0,-1.292609533
EPCAM,0,-1.66942146,-1.428798382,-1.221121694,0,-1.467290883,-1.66942146,-1.428798382,-1.312483495,0,0,-1.221121694,-1.747391577
EPDR1,-1.31778083,0,0,-1.189731908,2.72245979,1.891510543,0,0,0,1.176082094,2.72245979,-1.189731908,0
EPG5,1.316849632,-1.087093566,0,0,0,0,-1.087093566,0,0,0,0,0,0
EPGN,0,-1.051408779,0,0,0,0,-1.051408779,0,0,0,0,0,0
EPHA1,0,0,0,-1.45941045,4.307707102,3.403033375,0,0,0,0,4.307707102,-1.45941045,0
EPHA10,0,-1.110698179,-1.03654948,0,0,0,-1.110698179,-1.03654948,0,0,0,0,-1.131113603
EPHA2,0,0,-1.238377384,-1.178100609,-1.546748767,-2.81571291,0,-1.238377384,0,-1.088433377,-1.546748767,-1.178100609,1.677065402
EPHA3,0,0,0,-1.256070478,1.719299072,1.176676317,0,0,0,0,1.719299072,-1.256070478,0
EPHA4,0,2.714911854,0,-1.599917364,0,0,0,1.400034779,0,0,0,-1.599917364,2.420149514
EPHA7,0,0,-1.027766494,0,0,0,0,-1.027766494,0,0,0,0,0
EPHA8,0,0,0,0,0,0,0,0,0,-1.350666523,0,0,0
EPHB1,0,-1.273808548,0,0,0,1.402559848,-1.273808548,0,0,0,0,0,0
EPHB2,0,1.688472866,1.140125389,-1.159682332,0,-1.454756685,1.688472866,1.140125389,0,0,0,-1.159682332,1.622047146
EPHB3,0,0,0,-1.353424185,1.324154944,0,0,0,1.455438502,1.397781193,1.324154944,-1.353424185,0
EPHB4,0,-2.316481653,-1.337310897,0,1.25530359,1.136665032,-2.316481653,-1.337310897,1.222560694,1.11540788,1.25530359,0,-1.423651589
EPHB6,1.276509368,0,0,0,2.636488273,2.759154031,0,0,0,0,2.636488273,0,0
EPHX1,0,-1.582001419,0,0,1.476503315,2.112126019,0,0,-1.378007879,-1.21556342,1.476503315,1.190190019,-6.161875129
EPHX2,0,-2.076523777,0,0,0,0,0,0,0,1.114316739,0,0,-2.306959875
EPHX3,0,-1.657069687,0,0,-1.295802896,-1.23600416,0,0,1.449137772,0,-1.295802896,0,0
EPHX4,0,1.996484413,1.5373569,0,0,0,0,1.5373569,0,-1.217520651,0,0,2.584480874
EPM2A,-1.243418469,0,0,0,0,1.480800097,0,0,0,0,0,0,0
EPM2AIP1,0,0,1.465690398,0,0,1.070704394,0,1.465690398,2.157257668,1.680056934,0,0,0
EPN1,0,1.269557224,0,0,0,0,1.269557224,0,1.234481218,0,0,0,0
EPN2,1.410220125,-1.762956885,0,0,0,0,-1.762956885,-1.478215049,0,0,0,0,-1.353163524
EPN3,0,2.571215961,0,0,0,0,0,0,0,0,0,0,3.078627508
EPOR,0,0,0,0,1.801202703,2.019380949,0,0,0,0,1.801202703,0,0
EPPK1,0,0,0,-1.617259528,-1.704517414,-3.075085248,0,0,1.249405497,1.20146754,-1.704517414,-1.617259528,-1.205023487
EPRS,0,2.211887655,1.306176074,0,0,-1.289234517,0,1.306176074,0,1.224340065,0,0,2.006440476
EPS15,0,-1.987165703,-1.238078169,0,-1.185113287,-1.09722199,0,-1.238078169,0,1.17134424,-1.185113287,0,-3.186795093
EPS15L1,1.220271209,0,-1.148781286,0,0,0,0,-1.148781286,0,1.27630522,0,0,-1.457980218
EPS8,-1.453066238,3.049503729,1.370336395,-1.171053701,-1.45512076,-1.713816919,3.049503729,1.370336395,-1.436140063,0,-1.45512076,-1.171053701,2.444667201
EPS8L1,1.398841097,0,-1.2954686,0,1.349085726,1.13109968,0,-1.2954686,1.220735913,1.184327339,1.349085726,0,-1.230952523
EPS8L2,0,1.150132165,0,-1.27955218,0,-1.707925495,1.150132165,0,0,0,0,-1.27955218,1.339080132
EPS8L3,1.409102711,0,0,0,0,0,0,0,0,0,0,0,0
EPSTI1,0,3.398182917,0,1.728384763,-2.728373737,0,3.398182917,0,0,1.421158465,-2.728373737,1.728384763,2.799774297
EPT1,-1.613130192,0,-1.312301697,0,0,-1.220322732,0,-1.312301697,-1.60473528,-1.19057882,0,0,1.87086416
EPX,2.297341032,-1.293402536,0,0,0,0,-1.293402536,0,3.298669814,1.783899804,0,0,1.301374509
ERAL1,0,1.510248577,0,0,0,0,1.510248577,0,0,-1.286240472,0,0,3.141792214
ERAP1,0,-1.499780435,-1.459922702,0,-1.936378946,-1.740403937,-1.499780435,-1.459922702,0,1.250284729,-1.936378946,0,-2.48479901
ERAP2,1.323254112,-1.640171607,0,0,0,0,-1.640171607,0,1.790975505,1.544063255,0,0,0
ERAS,0,-1.08381566,0,0,0,0,-1.08381566,0,0,0,0,0,0
ERBB2,0,1.299938242,0,-1.182072479,0,-1.191785559,1.299938242,0,0,0,0,-1.182072479,0
ERBB2IP,0,-2.067057023,-1.140919701,0,0,0,-2.067057023,-1.140919701,0,0,0,0,-1.491807876
ERBB3,0,-1.087458294,-1.231335114,-1.228394588,0,-1.397681459,-1.087458294,-1.231335114,0,0,0,-1.228394588,-1.169849814
ERBB4,0,1.134600576,1.101489296,1.62874947,1.336695058,1.690463217,0,1.101489296,0,0,1.336695058,1.62874947,0
ERC1,1.280388188,-1.38871416,-1.309894273,-1.15399118,0,-1.081956867,-1.38871416,-1.309894273,0,0,0,-1.15399118,0
ERC2,0,-1.602680112,-1.294684809,-1.297212692,0,-1.100616018,0,-1.294684809,0,0,0,-1.297212692,-1.251222083
ERCC1,1.344405126,2.055629195,0,0,-1.289080462,-1.489886342,0,1.202775679,1.200061401,0,-1.289080462,0,2.363473982
ERCC2,0,0,0,0,0,0,0,0,-1.247414425,-1.282080525,0,0,1.718075333
ERCC3,0,2.629588461,1.878533792,0,0,-1.119968019,0,1.878533792,1.19406193,0,0,0,1.919325827
ERCC4,0,-1.490703329,-1.304160423,0,0,0,0,-1.304160423,1.333529488,1.490839428,0,0,0
ERCC5,1.294413461,0,0,0,0,-1.128026732,0,0,1.341406722,1.283361726,0,0,-1.417460577
ERCC6,0,0,-1.197766139,0,0,1.387133188,0,-1.197766139,1.358021116,1.515673596,0,0,0
ERCC6L,0,10.41101545,3.757720802,0,1.714808301,1.887349877,0,3.757720802,1.605663497,1.232204817,1.714808301,0,8.935792034
ERCC8,0,1.234470272,0,0,-1.220252816,-1.221072297,1.234470272,0,-1.387439864,0,-1.220252816,0,0
EREG,-2.704459645,2.740316885,1.339532208,0,0,0,2.740316885,1.339532208,-6.617539905,-3.998392596,0,0,2.898399727
ERF,-1.325606922,-1.615764804,-1.299349161,0,0,0,0,-1.299349161,0,0,0,0,1.384964599
ERG,1.235994903,0,1.212227717,-1.163498916,0,1.217469802,0,1.212227717,1.353952383,1.162380055,0,-1.163498916,-1.671555027
ERGIC1,0,1.881450796,1.315163416,0,0,-1.440415112,1.881450796,1.315163416,0,0,0,0,2.089887996
ERGIC2,0,2.177755057,0,-1.094139266,0,-1.0966444,2.177755057,0,0,1.4370054,0,-1.094139266,1.460432953
ERGIC3,0,1.530552533,0,0,1.463579899,1.1015915,0,1.534709251,0,-1.12879973,1.463579899,0,-1.277072937
ERH,0,1.920086053,1.226955019,0,1.294295579,1.257410459,0,1.226955019,0,0,1.294295579,0,1.256621241
ERI1,1.751564623,1.833710585,0,1.23613926,0,1.181225492,1.833710585,1.521733138,1.470908712,1.205102598,0,1.23613926,1.711018935
ERI2,1.583190691,0,0,0,1.362037032,1.27523343,0,0,1.501580552,1.553789092,1.362037032,0,0
ERI3,0,0,0,0,0,0,0,0,-1.330246343,-1.300301409,0,0,1.271938763
ERICH1,0,-1.350666201,0,0,0,0,-1.350666201,0,0,1.3532975,0,0,-4.324611568
ERLEC1,0,1.140697286,0,0,0,0,1.140697286,1.095088235,-1.242377235,0,0,0,-1.28351109
ERLIN1,1.703571583,3.670640022,1.956384859,0,0,-1.164207355,3.670640022,1.956384859,1.979008812,1.724262293,0,0,2.276840084
ERLIN2,1.414718733,1.093678288,0,-1.169632473,1.144787852,0,0,0,1.243789361,1.239613376,1.144787852,-1.169632473,0
ERMAP,0,1.138038468,0,0,-1.437241102,0,0,0,0,1.18515034,-1.437241102,0,0
ERMN,-1.695518303,0,0,0,0,0,0,0,-1.818851302,-1.720686102,0,0,-1.080099307
ERMP1,0,0,1.198148576,1.195370809,1.362487002,1.623312776,0,1.198148576,1.288469048,1.520048037,1.362487002,1.195370809,0
ERN1,0,-1.902807403,0,0,-1.24763346,-1.469787633,-1.902807403,-1.783763926,0,0,-1.24763346,0,1.410777373
ERN2,0,2.635039701,1.348609162,0,0,-1.14425417,2.635039701,1.348609162,1.439586448,1.406111946,0,0,2.692694999
ERO1L,0,3.607616438,0,-1.123290867,0,-1.078490663,3.607616438,1.743073528,0,0,0,-1.123290867,1.122070696
ERO1LB,0,1.122797474,0,0,0,1.093583771,1.122797474,0,0,0,0,0,-1.476060571
ERP27,0,1.227136233,1.134741201,0,0,0,1.227136233,1.134741201,0,0,0,0,1.349273754
ERP29,0,0,0,0,0,1.126979228,0,0,0,-1.318427263,0,0,0
ERP44,-1.288928996,0,0,0,0,-1.257057687,0,0,0,0,0,0,0
ERRFI1,-1.4893995,-1.367974778,0,0,-2.310643968,-2.563115777,0,0,-3.190578607,-2.428185532,-2.310643968,0,-1.880762984
ERV18-1,0,-3.5815232,0,0,0,0,0,0,0,0,0,0,0
ERV3-1,1.379755509,1.150029466,1.159412289,0,0,0,1.150029466,1.159412289,1.262534997,1.362473285,0,0,-1.207717129
ERVFRD-1,0,-1.635001096,0,0,0,0,-1.635001096,0,1.196773686,1.125510113,0,0,1.262275584
ERVFRD-2,0,-2.273245198,0,0,0,0,-2.273245198,0,0,1.158893675,0,0,-3.33299122
ERVH-3,0,-1.610700543,-1.169121332,0,0,0,-1.610700543,-1.169121332,0,0,0,0,-1.41033017
ERVI-1,0,-1.101311229,-1.048469876,0,0,0,-1.101311229,-1.048469876,0,0,0,0,-1.160365897
ERVV-2,0,-1.222644797,1.263056064,0,0,0,-1.222644797,1.263056064,0,-1.274699693,0,0,1.304601553
ERVW-1,0,-1.06189754,0,0,0,0,-1.06189754,0,0,1.177833196,0,0,0
ESAM,0,-1.221421719,0,-1.171452425,0,-1.398488348,-1.221421719,0,0,0,0,-1.171452425,0
ESCO1,0,-1.985823506,0,0,-1.262100341,0,-1.985823506,0,0,1.30422894,-1.262100341,0,0
ESCO2,1.870516869,5.60268557,0,1.3185385,3.951301194,3.379166438,5.60268557,2.590261874,2.196402337,1.555805554,3.951301194,1.3185385,5.198566755
ESD,0,1.466452258,1.379007508,0,0,-1.417086064,1.466452258,1.379007508,0,0,0,0,0
ESF1,0,0,0,-1.150469183,-1.294782116,-1.485023053,0,-1.234576047,-1.294349222,1.155106003,-1.294782116,-1.150469183,1.494001457
ESM1,0,3.207314961,1.95486811,0,0,1.912427939,3.207314961,1.95486811,0,0,0,0,1.261477208
ESPL1,0,2.566564781,1.796215177,1.31292271,2.396742213,3.435921252,2.566564781,1.796215177,1.326091897,0,2.396742213,1.31292271,2.365301488
ESPNL,1.667913101,0,-1.555610327,0,0,0,0,-1.555610327,0,1.099350442,0,0,0
ESR1,0,0,-1.104472568,-1.396945654,0,1.19303783,0,-1.104472568,0,0,0,-1.396945654,0
ESR2,0,1.118884953,0,-1.230916386,1.308131457,1.263337018,1.118884953,0,0,0,1.308131457,-1.230916386,1.133397698
ESRG,0,-2.22822536,0,0,0,0,-2.22822536,0,0,0,0,0,0
ESRP1,0,0,0,-1.261185177,0,-1.145791331,0,0,-1.236931557,-1.147397086,0,-1.261185177,-1.568485598
ESRP2,0,-1.447214983,-1.262935836,-1.35931187,0,-1.650008913,-1.447214983,-1.262935836,0,0,0,-1.35931187,-1.253789259
ESRRA,0,1.140773481,0,1.211622036,-1.183777987,1.140215423,1.140773481,0,1.217086244,1.263879259,-1.183777987,1.211622036,1.282395238
ESRRG,0,-2.064349547,0,0,1.211520345,1.314988932,-2.064349547,0,0,0,1.211520345,0,1.91148967
ESX1,0,5.40197024,0,0,0,0,0,0,0,0,0,0,4.353612756
ESYT1,0,2.663706175,0,1.25745123,0,0,2.663706175,0,0,-1.364408812,0,1.25745123,2.919295411
ESYT2,0,0,0,0,0,0,0,1.39374887,-1.307462437,-1.482638902,0,0,-1.684194976
ESYT3,0,0,0,-1.436422106,1.466063384,1.417493738,0,0,0,0,1.466063384,-1.436422106,1.127678544
ETAA1,0,1.165103974,-1.219605818,1.147134137,1.163088521,1.321623705,0,-1.219605818,0,1.30625819,1.163088521,1.147134137,0
ETF1,-1.506866973,1.534814635,0,0,-1.297423432,-1.488208504,1.534814635,0,-1.451091558,0,-1.297423432,0,1.503846869
ETFA,0,2.309747379,0,-1.199545672,0,-1.103483373,0,1.448261765,0,1.227829359,0,-1.199545672,0
ETFB,1.317374772,1.591330916,1.720809101,0,1.248848197,1.236628259,0,1.720809101,1.295401193,1.169250145,1.248848197,0,0
ETFDH,1.361405048,1.377426905,0,0,0,-1.180913187,1.377426905,0,1.305046351,1.454939596,0,0,-1.189048538
ETHE1,1.641518417,1.36029145,0,0,0,-1.160963601,0,1.588480288,0,-1.298884412,0,0,-1.37705718
ETNK1,-1.451425206,1.202353043,-1.104295065,0,-1.686498021,-1.632774527,1.202353043,-1.104295065,-1.794280293,-1.376213703,-1.686498021,0,-1.557943106
ETNK2,0,0,0,0,0,0,0,0,0,0,0,0,-1.33262733
ETS1,0,1.689728761,1.398094509,1.422901544,1.337342913,2.372150078,1.689728761,1.398094509,0,1.408251292,1.337342913,1.422901544,1.203194837
ETS2,-1.329428118,1.60757577,1.315110578,0,-1.286464805,-1.357429922,1.60757577,1.315110578,0,1.20317791,-1.286464805,0,0
ETV1,0,-1.077203325,0,-1.178208087,3.327359482,3.090877514,-1.077203325,0,0,0,3.327359482,-1.178208087,-1.604839923
ETV2,-1.38942456,-1.678539213,0,0,0,0,0,-1.620967744,0,-1.369934418,0,0,-2.402692727
ETV3,0,0,-1.104127169,1.113941301,-1.471621967,-1.172403446,0,-1.104127169,-1.423868289,-1.230943215,-1.471621967,1.113941301,-1.309009948
ETV3L,0,1.102491754,0,0,0,0,1.102491754,0,0,-1.132054202,0,0,1.148106558
ETV4,1.866175239,1.946910324,0,0,1.578576368,0,1.946910324,0,2.02907914,1.603016676,1.578576368,0,2.747415015
ETV5,-1.670723472,2.191703682,0,0,1.366622503,1.567465907,2.191703682,0,-2.315722263,-1.543231541,1.366622503,0,2.35111319
ETV6,0,-1.637485341,0,0,-1.750152299,-1.793394241,0,-1.544025506,0,0,-1.750152299,0,0
ETV7,0,0,0,0,0,0,0,0,0,0,0,0,-1.140672254
EVC,-1.254332554,0,0,0,1.634928019,1.651162362,0,0,-1.407807247,-1.284092536,1.634928019,0,1.448473655
EVC2,0,-1.231778594,-1.19112558,-1.137652725,1.347010902,1.190650239,-1.231778594,-1.19112558,0,0,1.347010902,-1.137652725,2.05431606
EVI2A,1.531432877,1.523646739,0,0,-1.907757446,-1.478546393,1.523646739,0,0,-1.249310856,-1.907757446,0,1.449496277
EVI2B,1.696256737,1.503423662,1.058932656,1.255035911,-1.433033885,1.170636803,0,1.058932656,1.378957726,0,-1.433033885,1.255035911,1.445824143
EVI5,0,0,0,-1.183119796,1.180272301,0,0,0,0,0,1.180272301,-1.183119796,-1.421022406
EVI5L,1.323627686,-1.908379494,0,0,1.248385783,1.417370513,-1.908379494,0,0,-1.213194975,1.248385783,0,-1.451029983
EVL,1.590638393,0,1.247800578,1.324711885,0,1.531646701,0,1.247800578,0,0,0,1.324711885,0
EVPL,0,-4.669393137,-2.108419774,0,0,-1.145813497,-4.669393137,-2.108419774,-1.66212444,-1.959951283,0,0,-1.636203428
EVPLL,0,1.117322875,1.085406562,0,0,0,1.117322875,1.085406562,0,0,0,0,1.093921877
EVX1,0,-2.469515743,0,0,0,0,0,0,0,0,0,0,0
EVX2,0,0,0,1.522026321,0,0,0,0,0,0,0,1.522026321,0
EWSR1,-1.249085225,1.747933706,1.269067053,0,0,1.082017403,1.747933706,1.269067053,0,0,0,0,1.750909931
EXD1,0,0,0,0,0,-1.136961578,0,0,0,-1.542120853,0,0,0
EXD2,0,1.635141183,1.160215327,0,1.326263178,1.334438016,1.635141183,1.160215327,0,0,1.326263178,0,1.246730601
EXD3,0,-1.158177792,0,0,0,0,0,0,0,0,0,0,-1.139247788
EXO1,0,9.265987741,0,1.312033323,2.27400456,2.724687444,9.265987741,4.950287623,1.378526029,0,2.27400456,1.312033323,8.236034905
EXOC1,0,1.146650335,0,0,0,-1.216240403,0,1.264718453,0,1.379394856,0,0,-1.320903609
EXOC2,0,0,0,0,0,0,0,0,0,0,0,0,1.327012953
EXOC3,0,1.477435565,1.252215781,0,0,0,1.477435565,1.252215781,0,0,0,0,1.165916081
EXOC3L1,0,-1.187712794,0,0,0,0,-1.187712794,0,0,0,0,0,0
EXOC3L2,2.227070106,-2.566216735,0,1.196728153,0,0,-2.566216735,0,0,0,0,1.196728153,2.639190269
EXOC3L4,1.65083145,-1.299427225,0,0,0,0,-1.299427225,0,1.515983629,1.613702704,0,0,-1.368247346
