,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
LOC286109,-1.73447591,0,-1.858724142,0,0,0,0,-1.858724142,-1.700138846,-1.160164925,0,0,1.244160596
LOC286114,0,0,1.037180754,0,0,0,0,1.037180754,0,0,0,0,0
LOC286154,0,-1.633258555,-1.480527255,0,0,0,-1.633258555,-1.480527255,0,0,0,0,-1.581624778
LOC286161,0,-2.038636467,0,0,0,0,-2.038636467,0,-1.316336232,-1.291622276,0,0,-4.476089166
LOC286177,0,-1.150846699,0,0,0,0,0,0,0,0,0,0,-1.272385898
LOC286184,0,0,0,0,0,0,0,0,0,0,0,0,1.075147118
LOC286186,0,0,0,0,0,0,0,0,0,0,0,0,-1.792877709
LOC286190,0,0,0,0,0,0,0,0,0,0,0,0,-1.075407578
LOC286238,0,-1.14625875,0,0,0,0,0,0,0,0,0,0,-1.493423475
LOC286272,0,-1.167329555,0,0,0,0,0,0,0,1.24620952,0,0,-1.436368354
LOC286299,0,-1.299237281,1.863129377,0,0,0,-1.299237281,1.863129377,0,0,0,0,1.430422624
LOC286367,1.374318247,-1.27342101,-1.21027623,0,0,0,-1.27342101,-1.21027623,1.378658307,1.242872264,0,0,-1.296210769
LOC286382,0,0,0,0,0,0,0,0,1.699765411,0,0,0,0
LOC286437,0,-1.230111899,0,0,0,0,-1.230111899,0,1.620702533,1.404803669,0,0,-1.430979205
